id,instance_id,user_id,status,waitlist,created_at,updated_at,sync_completed_on,async_completed_on,waitlisted_on,enrolled_on,canceled_on,absent_on,async_active_on
4499,233,1334,waitlist,50,2023-04-13 03:07:55.257058,2023-04-13 23:08:44.540749,,,,,,,
4500,233,1335,waitlist,51,2023-04-13 03:24:07.914296,2023-04-13 23:08:44.546211,,,,,,,
4501,233,1336,waitlist,52,2023-04-13 03:39:30.719712,2023-04-13 23:08:44.555858,,,,,,,
4502,233,399,waitlist,53,2023-04-13 14:05:45.882616,2023-04-13 23:08:44.563312,,,,,,,
4503,233,1284,waitlist,54,2023-04-13 14:15:15.676571,2023-04-13 23:08:44.569381,,,,,,,
4504,233,1325,waitlist,55,2023-04-13 17:45:47.868349,2023-04-13 23:08:44.577317,,,,,,,
4505,233,1337,waitlist,56,2023-04-13 21:22:30.032172,2023-04-13 23:08:44.584100,,,,,,,
4506,233,522,waitlist,57,2023-04-14 12:00:28.628376,2023-04-14 12:00:28.628376,,,,,,,
4507,243,1084,attend,,2023-04-14 12:54:26.752523,2023-09-20 14:31:41.515893,2023-04-21 17:07:53.638284,,,,,,
4508,243,1236,enroll,,2023-04-14 12:55:57.219993,2023-04-14 12:55:57.219993,,,,,,,
4509,240,1259,cancel,,2023-04-14 13:05:38.992111,2023-04-17 12:49:49.073756,,,,,,,
4510,240,1019,cancel,,2023-04-14 13:48:38.912152,2023-04-19 15:10:10.495199,,,,,,,
4511,242,1019,enroll,,2023-04-14 13:50:21.577483,2023-04-14 13:50:21.577483,,,,,,,
4512,243,146,cancel,,2023-04-14 13:51:47.352299,2023-04-21 14:36:54.644889,,,,,,,
4513,243,289,attend,,2023-04-14 14:03:02.298310,2023-09-20 14:31:41.525453,2023-04-21 17:07:53.622891,,,,,,
4514,240,1338,enroll,,2023-04-14 14:04:32.838711,2023-04-14 14:04:32.838711,,,,,,,
4515,242,1329,cancel,,2023-04-14 14:06:40.917016,2023-04-21 14:44:44.014406,,,,,,,
4516,239,1291,enroll,,2023-04-14 14:43:47.573802,2023-04-14 14:43:47.573802,,,,,,,
4517,240,1339,enroll,,2023-04-14 14:56:43.494691,2023-04-14 14:56:43.494691,,,,,,,
4518,243,839,cancel,,2023-04-14 15:07:32.018915,2023-04-21 15:01:28.557077,,,,,,,
4519,237,839,cancel,,2023-04-14 15:08:55.368368,2023-04-14 15:09:53.729318,,,,,,,
4520,239,1340,enroll,,2023-04-14 15:53:09.310187,2023-04-14 15:53:09.310187,,,,,,,
4521,239,399,enroll,,2023-04-14 16:59:37.677729,2023-04-14 16:59:37.677729,,,,,,,
4522,240,1342,enroll,,2023-04-14 17:19:45.153051,2023-04-14 17:19:45.153051,,,,,,,
4523,242,1291,attend,,2023-04-14 17:30:16.725130,2023-09-20 14:31:41.536605,2023-04-21 22:14:55.035537,,,,,,
4524,244,1,enroll,,2023-04-14 17:59:37.292497,2023-04-14 17:59:37.292497,,,,,,,
4525,242,1242,cancel,,2023-04-14 17:59:45.732775,2023-04-15 02:13:00.808860,,,,,,,
4526,233,340,waitlist,58,2023-04-14 18:44:11.916541,2023-04-14 18:44:11.916541,,,,,,,
4527,233,1345,waitlist,59,2023-04-14 18:56:38.968767,2023-04-14 18:56:38.968767,,,,,,,
4528,243,355,enroll,,2023-04-14 19:44:23.132799,2023-04-14 19:44:23.132799,,,,,,,
4529,100,355,enroll,,2023-04-14 19:49:12.986655,2023-04-14 19:49:12.986655,,,,,,,
4530,239,754,enroll,,2023-04-14 20:35:51.017956,2023-04-14 20:35:51.017956,,,,,,,
4531,239,1191,enroll,,2023-04-14 21:08:07.263467,2023-04-14 21:08:07.263467,,,,,,,
4532,242,1249,attend,,2023-04-14 21:22:54.122271,2023-09-20 14:31:41.548621,2023-04-21 22:14:55.241394,,,,,,
4533,239,1227,cancel,,2023-04-15 03:06:57.846562,2023-04-18 18:20:45.996398,,,,,,,
4534,240,1348,cancel,,2023-04-15 14:53:34.271756,2023-04-19 21:47:14.914052,,,,,,,
4535,240,1284,enroll,,2023-04-15 17:56:45.357529,2023-04-15 17:56:45.357529,,,,,,,
4536,241,1284,attend,,2023-04-15 18:06:04.766529,2023-09-20 14:31:41.557454,2023-04-21 21:41:58.348304,,,,,,
4537,239,1003,cancel,,2023-04-15 19:26:36.484932,2023-04-18 19:40:00.084022,,,,,,,
